Country,Energy_type,Year,Energy_consumption,Energy_production,GDP,Population,Energy_intensity_per_capita,Energy_intensity_by_GDP,CO2_emission,Energy_efficiency,Energy_ratio,CO2_per_capita
United States,natural_gas,1994,21.728066828,19.348013257,10844.82,263017.8,338.31639554433195,8.205137020254831,1110.705363,0.8904617889000171,0.8904617889000171,0.004222928497614991
United States,petroleum_n_other_liquids,1994,34.562795501,16.451948662,10844.82,263017.8,338.31639554433195,8.205137020254831,2193.136602,0.476001678206961,0.476001678206961,0.008338358095915942
United States,nuclear,1994,6.693877124,6.693877124,10844.82,263017.8,338.31639554433195,8.205137020254831,0.0,1.0,1.0,0.0
United States,renewables_n_other,1994,5.987141691,5.987141692,10844.82,263017.8,338.31639554433195,8.205137020254831,0.0,1.0000000001670246,1.0000000001670246,0.0
United States,all_energy_types,1995,90.930704011,71.129139933,11135.92,266179.2,341.6146115511655,8.165531362563668,5262.663333,0.7822345675933118,0.7822345675933118,0.019771129122786453
United States,coal,1995,20.088726842,22.129550192,11135.92,266179.2,341.6146115511655,8.165531362563668,1892.224707,1.1015904773882037,1.1015904773882037,0.007108837606394489
United States,natural_gas,1995,22.671138742,19.082244944,11135.92,266179.2,341.6146115511655,8.165531362563668,1136.048048,0.8416976827303648,0.8416976827303648,0.004267982051189575
United States,petroleum_n_other_liquids,1995,34.458440187,16.284600272,11135.92,266179.2,341.6146115511655,8.165531362563668,2234.390578,0.4725866923640852,0.4725866923640852,0.00839430946520239
United States,nuclear,1995,7.075436106,7.075436106,11135.92,266179.2,341.6146115511655,8.165531362563668,0.0,1.0,1.0,0.0
United States,renewables_n_other,1995,6.559368541,6.557308419,11135.92,266179.2,341.6146115511655,8.165531362563668,0.0,0.9996859267798228,0.9996859267798228,0.0
United States,all_energy_types,1996,93.934510891,72.435221336,11556.02,269310.5,348.79631834258225,8.128621349824593,5324.311399,0.7711246979297374,0.7711246979297374,0.019770158976348862
United States,coal,1996,21.00191449,22.790148084,11556.02,269310.5,348.79631834258225,8.128621349824593,1912.142841,1.0851462182103189,1.0851462182103189,0.007100142181608218
United States,natural_gas,1996,23.084647038,19.344268184,11556.02,269310.5,348.79631834258225,8.128621349824593,1185.442673,0.8379711481902711,0.8379711481902711,0.004401769232911454
United States,petroleum_n_other_liquids,1996,35.673079944,16.20324206,11556.02,269310.5,348.79631834258225,8.128621349824593,2226.725885,0.4542148332982751,0.4542148332982751,0.008268247561829188
United States,nuclear,1996,7.086673918,7.086673918,11556.02,269310.5,348.79631834258225,8.128621349824593,0.0,1.0,1.0,0.0
United States,renewables_n_other,1996,7.012394296,7.01088909,11556.02,269310.5,348.79631834258225,8.128621349824593,0.0,0.9997853506325424,0.9997853506325424,0.0
United States,all_energy_types,1997,94.50699934,72.420085173,12069.94,272559.2,346.7393481489526,7.829947732963047,5518.030044,0.766293350532274,0.766293350532274,0.020245253302768718
United States,coal,1997,21.445410997,23.30961402,12069.94,272559.2,346.7393481489526,7.829947732963047,1994.532207,1.0869278291407325,1.0869278291407325,0.007317794471806491
United States,natural_gas,1997,23.222716326,19.393850734,12069.94,272559.2,346.7393481489526,7.829947732963047,1206.743953,0.8351241285364526,0.8351241285364526,0.004427456321415678
United States,petroleum_n_other_liquids,1997,36.171674983,16.102818276,12069.94,272559.2,346.7393481489526,7.829947732963047,2316.753884,0.4451775673525768,0.4451775673525768,0.00850000250954655
United States,nuclear,1997,6.59699193,6.59699193,12069.94,272559.2,346.7393481489526,7.829947732963047,0.0,1.0,1.0,0.0
United States,renewables_n_other,1997,7.014122341,7.016810213,12069.94,272559.2,346.7393481489526,7.829947732963047,0.0,1.0003832085996403,1.0003832085996403,0.0
United States,all_energy_types,1998,94.920189837,72.826461299,12610.85,275762.2,344.2103008933059,7.526866931015752,5589.322021,0.7672388922110243,0.7672388922110243,0.020268630076928598
United States,coal,1998,21.6557439,24.045198439,12610.85,275762.2,344.2103008933059,7.526866931015752,2038.849018,1.1103381416973628,1.1103381416973628,0.00739350432365277
United States,natural_gas,1998,22.830226191,19.613294781,12610.85,275762.2,344.2103008933059,7.526866931015752,1213.776148,0.8590933185205076,0.8590933185205076,0.004401532001122706
